dashboard_id,sheet_name,mark_type,rule_label,rf_label,llm_verdict,llm_reason
sales/Sales Funnel Dashboard _ VOTD,T_# of Open Oppty,area,flagged,correct,FLAGGED,"The 'Close Date' field on the cols shelf uses aggregation 'TMN' (Minimum truncated to date), and while not inherently wrong, the nominal field 'federated.115pndt13rr5341ctxudt1syid5e' appears on both rows and cols with no aggregation (NONE) applied to a nominal type, which is structurally redundant and suggests a misconfigured duplicate dimension placement rather than a meaningful chart design."
financial/Finance Business Dashboard,Scatter Plot with Action Filter,circle,correct,flagged,CORRECT,"The nominal field uses no aggregation (appropriate for categorical data), and the quantitative calculation field uses SUM (appropriate for summing a numeric measure in a circle chart)."
marketing/Marketing Spend Overview (RAW Nutrition Concept),LTV:CAC Trend By Channel,bar,correct,correct,CORRECT,"All fields use contextually appropriate aggregations: nominal/categorical fields have no aggregation (NONE), while quantitative and ordinal fields use user-defined (USR) aggregations, which is suitable for custom calculations in a bar chart context."
hr/HR Management Dashboard _ #VOTD,Pie Chart,pie,flagged,flagged,FLAGGED,"The pie chart uses a raw USR (user-defined) aggregation on the quantitative field rather than Percent of Total, which is the semantically appropriate aggregation for pie charts since slices should represent proportional shares of a whole."
hr/HR Dashboard _ #RWFD (1),Pie - Gender wise,pie,flagged,flagged,FLAGGED,"The pie chart uses raw SUM aggregations for the two quantitative calculations rather than Percent of Total, which is semantically inappropriate for a pie chart where slices should represent proportional parts of a whole."
supply_chain/Supply Chain Analysis,‘Adj Qty’ by Month – By Item Number,bar,correct,correct,FLAGGED,"The 'dispatch_dte' temporal field uses TMN (minimum date truncation or similar non-standard aggregation) on the rows shelf, which is unusual and potentially incorrect for a date field used as a row dimension, as dates are typically used unaggregated (NONE) or with standard date truncations like DAY/MONTH/YEAR rather than TMN."
operations/ACME OPERATIONS DASHBOARD OPERATOR GANTT,TRELLIS GAUGE CHARTS - LANG,pie,flagged,flagged,FLAGGED,"The pie chart uses raw SUM aggregations for the quantitative fields rather than Percent of Total, which is semantically inappropriate for a pie chart where slices should represent proportional contributions to a whole."
hr/HR Diversity Scorecard _ #RWFD,Diversity BAN,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom USR aggregation on a quantitative field placed on rows rather than using Percent of Total, and a nominal field with no aggregation (NONE) on rows is structurally inappropriate for a pie chart, which expects aggregated measures on the angle/size shelf to represent proportional slices."
education/online education platform dashboard-project- By Divya,Sheet 6,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom/user-defined (USR) aggregation on a quantitative field placed on rows rather than using a Percent of Total aggregation, which is the semantically appropriate aggregation for pie charts to ensure slices represent proportional parts of a whole."
sales/Sales Overview,BAN bar 2 (part 2),bar,correct,correct,FLAGGED,"The 'Pro rata Sales Target' field uses a USR (user-defined) aggregation, which lacks transparency and cannot be verified for semantic correctness, raising concerns about whether the aggregation is appropriately defined for a ratio/target field that may already represent a pre-aggregated or normalized value."
healthcare/101-Designing Dashboards and Stories - Healthcare Costs,Word Cloud,text,correct,correct,CORRECT,"Both fields are nominal (categorical) types with no aggregation applied, which is appropriate for text mark types used to display dimensional label data in a cross-tabulation or detail view."
supply_chain/07 - Supply Chain Cost Dashboard,Region Volume & Unit Cost,bar,correct,correct,CORRECT,"All fields have appropriate aggregations: nominal fields use no aggregation (NONE), the quantitative 'unitship' field uses SUM which is semantically valid for a unit count measure, and 'Dynamic FOB Cost (copy)' uses a user-defined (USR) aggregation which is intentional and appropriate for a custom calculated field in a bar chart context."
healthcare/Healthcare (3),Sheet 3,pie,flagged,flagged,FLAGGED,"A pie chart using AVG aggregation on 'Number of Records' is semantically inappropriate, as pie charts should use SUM or Percent of Total to represent proportional parts of a whole, and AVG would misrepresent the relative contributions of each category."
marketing/Windsor Marketing Dashboard,CPI Y/Y actual,bar,correct,correct,CORRECT,"No fields are used in the chart, so there are no aggregation functions to evaluate for correctness."
supply_chain/#RWFD Supply Chain Dashboard,Service level ban / wh,pie,flagged,flagged,FLAGGED,"The pie chart uses fields with NONE aggregation (no aggregation applied to the nominal fields) and USR (user-defined) aggregations on the quantitative fields, but pie charts require proper aggregated measures (ideally Percent of Total or SUM) to meaningfully represent proportional parts of a whole, and raw or unaggregated values risk misrepresenting the data distribution."
hr/HR Attrition Dashboard _ VOTD _ #IIBAwards'22,Attrition Trend- M,bar,correct,flagged,FLAGGED,"The 'Attrition Date' temporal field has aggregation TMN (Minimum truncated to year or similar) applied on the columns shelf, and while date truncation/minimum can be acceptable, combining it with a nominal field duplicate on both rows and cols alongside SUM(EmployeeCount) suggests a structural redundancy and potential misuse where the date aggregation may not meaningfully drive the bar chart's intended comparison."
financial/Tableau for Finance,Main-Consol,bar,correct,correct,CORRECT,"All fields use appropriate aggregations: nominal fields have no aggregation (NONE), quantitative measures use user-defined aggregations (USR), and the date field uses year (YR) truncation, all of which are semantically and structurally suitable for a bar chart."
financial/Procurement and accounting,Pareto,line,correct,correct,FLAGGED,"The PCTO (Percent of Total) aggregation is applied to 'Derived Vendor Name', which appears to be a categorical/text field (vendor names), making a percentage of total aggregation semantically meaningless on a non-numeric field."
supply_chain/Supply Chain Analysis,Total Quantity Shipped by Month,pie,flagged,flagged,FLAGGED,"The pie chart uses SUM aggregation for the quantitative field rather than Percent of Total, which is semantically inappropriate for a pie chart where slices should represent proportional contributions to a whole."
sales/Sales - Sales vs Quota (Tableau Accelerators Remake) #VOTD,YTD % Diff,bar,correct,correct,CORRECT,"The aggregations are appropriate: nominal fields use no aggregation (NONE), the quantitative MTD Change measure uses a user-defined aggregation (USR), and the Date field uses MONTH (MN) aggregation which is semantically valid for an ordinal date field in a bar chart context."
sales/Northwind Sales Dashboard,Highest Profit Margin Products,bar,correct,correct,FLAGGED,"The field 'Calculation_676384413461790727' on the rows shelf has an ordinal type but uses a USR (user-defined) aggregation, which is suspicious for a dimensional/categorical field that typically should have no aggregation, and similarly 'Profit (copy)_157344554722414593' uses USR aggregation on a quantitative field without transparency into whether the custom aggregation is semantically appropriate for a profit measure in a bar chart."
hr/HR Attrition Dashboard,yearsSincePromo,area,correct,correct,FLAGGED,"'YearsSinceLastPromotion' on the cols shelf has no aggregation (NONE) applied to a quantitative field in an area chart, which means individual raw values are being plotted rather than an aggregated measure, likely causing a duplicate/dense axis and making the area chart semantically incorrect."
supply_chain/Supply Chain Dashboard (1),Pending Orders,pie,flagged,flagged,FLAGGED,"The pie chart uses a raw USR (user-defined) aggregation on a quantitative field rather than Percent of Total, which is the semantically appropriate aggregation for pie charts to ensure the slices correctly represent proportional parts of a whole."
marketing/Email Marketing Report,Bounces Pie,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom (USR) aggregation on a quantitative field placed on rows rather than using Percent of Total, and pie charts require angle/size encoding via a measure on the appropriate shelf (color/angle) to correctly represent proportional parts of a whole."
hr/HR Dashboard #RWFD,Upper Line,line,correct,correct,FLAGGED,"The field 'Calculation_3147171737258102811' uses a USR (user-defined) aggregation on a quantitative field, which cannot be verified for semantic correctness without knowing the custom aggregation definition, and the field 'Calculation_3147171737188175894' on cols has no aggregation (NONE) applied to a quantitative field, which is atypical and may result in row-level or unaggregated values being plotted incorrectly in a line chart context."
financial/Sector Visualizations_ Finance,Global Trade Finance Gap,bar,flagged,flagged,FLAGGED,"The field 'Global Goods Trade Percentage' is a ratio/percentage field, and applying SUM to it is semantically inappropriate as summing percentages produces a meaningless value rather than a meaningful aggregated percentage."
financial/Finance,Net working capital excl. Cash and Current Debt,line,correct,correct,CORRECT,"The aggregation is appropriate: 'Net Working Capital excl. Cash and Current Debt' is a quantitative measure correctly aggregated with SUM, while the nominal/categorical fields ('excel-direct.42581.611218009260' and 'Month') have no aggregation applied, which is semantically correct for dimensions used to define the line chart's structure."
sales/Superstore Sales Overview Dashboard,Quantity KPI Difference,bar,correct,correct,CORRECT,"The nominal field 'Sample - Superstore' correctly uses no aggregation (NONE) as it is a categorical dimension, and the quantitative calculation field uses a user-defined (USR) aggregation which is appropriate for a custom calculation in a bar chart."
healthcare/Healthcare Dashboard (1),Admission by Devision,pie,flagged,flagged,FLAGGED,"The pie chart uses MAX aggregation on 'Number of Records' instead of SUM or Percent of Total, which is semantically inappropriate for a pie chart as MAX would return only the single largest record count per slice rather than the total contribution of each category to the whole."
supply_chain/Supply Chain Dashboard (1),Sheet 20,bar,correct,correct,FLAGGED,"The field 'federated.1booo7o16pas6415psqdt0owdi9g' appears on the columns shelf with no aggregation (NONE) despite being used as a dimensional axis, while its role is duplicated across both rows and columns, suggesting a structural misconfiguration where a likely identifier or categorical field is being used redundantly and without clear purpose on the columns shelf alongside a SUM measure."
operations/Dashboard - Dredging Operations,Count of ECC/CNC (2),pie,flagged,flagged,FLAGGED,"The pie chart uses raw (USR) aggregated values for the angle/size measures rather than Percent of Total, which is semantically inappropriate for a pie chart where slices should represent proportional parts of a whole."
supply_chain/SupplyChain,TO to Target,bar,flagged,flagged,CORRECT,"The aggregations are appropriate: SUM is applied to the quantitative 'Turnover' measure, while the nominal/ordinal fields ('federated.1oi01w4019uv4f1e41v8l0fe2bbi' and 'Year') are used with no aggregation as dimensional grouping fields, which is semantically correct for a bar chart."
marketing/Marketing Dashboard,campaign conversion rate,text,correct,correct,CORRECT,"Both fields use no aggregation (NONE), which is appropriate since they are nominal/categorical fields used as column headers in a text table, where aggregation would be semantically incorrect."
supply_chain/#RWFD Supply Chain Dashboard,service levels,bar,flagged,flagged,FLAGGED,"'Calculation_1178535757448830976' is an ordinal field aggregated with SUM on the rows shelf, and 'Calculation1' is an ordinal field aggregated with a user-defined (USR) aggregation appearing on both rows and cols shelves, which raises concerns as applying numeric aggregations like SUM to ordinal/categorical fields and using non-standard USR aggregations on ordinal types may produce semantically misleading results."
hr/HR Dashboard _ #RWFD,gender pie,pie,flagged,flagged,FLAGGED,"The pie chart uses a USR (user-defined) aggregation on the quantitative field rather than Percent of Total, and the dimension field has no aggregation (NONE), which is structurally inappropriate for a pie chart that should display proportional slices summing to 100%."
supply_chain/Supply Chain Dashboard (6),Distribution of  by Shipping Mode,circle,correct,correct,CORRECT,"All fields use no aggregation (NONE), which is appropriate since the nominal fields are categorical and the quantitative field appears to be a parameter or calculated measure that doesn't require aggregation in this scatter/dot plot context."
marketing/Marketing Campaign Efficiency Dashboard #VOTD,channel conversion,bar,flagged,flagged,FLAGGED,"'Conversions' is typed as ordinal but has SUM applied to it on the cols shelf alongside dimension fields with no aggregation (NONE), creating a structurally inconsistent mix that suggests a likely misconfiguration, and the USR (user-defined) aggregation on a quantitative field cannot be verified for semantic correctness without knowing the underlying calculation."
hr/HR Dashboard  (1),Department wise Attrition,pie,flagged,flagged,FLAGGED,"The pie chart uses fields with USR (user-defined) aggregations for the quantitative measures and NONE aggregation for nominal fields on rows/cols, without any Percent of Total aggregation, which is semantically inappropriate for a pie chart where slices should represent proportional parts of a whole."
hr/HR Dashboard - #RWFD _ VOTD,by Job,bar,correct,correct,FLAGGED,"The field 'Calculation_691302607835635746' is used with a RANK aggregation on the rows shelf (ordinal type) and simultaneously with a USR (user-defined/raw) aggregation on the cols shelf as a quantitative type, creating an inconsistent dual-aggregation usage of the same field that is semantically suspect and likely to produce misleading results."
operations/Fistula Operation,Life Risk Maternal Death - Country,circle,flagged,flagged,FLAGGED,"SUM is applied to 'Lifetime risk of maternal death (%)', which is a ratio/percentage field, and summing percentages is semantically inappropriate as it produces a meaningless total rather than a representative rate (AVG or a weighted average would be more appropriate)."
marketing/Email Marketing Report,Transactions Over Time,bar,correct,correct,CORRECT,"Each field uses an appropriate aggregation: the nominal field has no aggregation (NONE), the quantitative calculation uses a user-defined aggregation (USR), and the date field uses MONTH (MN) as an ordinal time truncation, all of which are semantically and structurally suitable for a bar chart."
hr/HR Onboarding Tracker _ VOTD,Scatter Filtered by Top 5,circle,correct,correct,FLAGGED,"The 'Date' field is quantitative and placed on columns with no aggregation (NONE), which means raw date values are being used as a dimension, likely causing every individual date to create a separate mark rather than a meaningful aggregated time grouping, and similarly 'Stage Order' and the federated nominal field lack aggregation where structural clarity may require it."
hr/HR Dashboard ,Avg Montly Rate,line,flagged,flagged,FLAGGED,"The field 'Calculation_592786305341361aym6d806grhot' uses aggregation 'TYR' which is not a recognized or valid aggregation function in Tableau, suggesting an error or corrupt configuration in the chart definition."
sales/Superstore Sales Overview Dashboard,Days to ship Down,text,flagged,flagged,FLAGGED,"SUM is applied to 'Days to ship + 1 (copy)' which is marked as ordinal (categorical) type, making a SUM aggregation semantically inappropriate as summing ordinal values produces a meaningless result."
healthcare/Healthcare (1),pul p's 2,pie,flagged,flagged,FLAGGED,"The 'Number of Records' field in a pie chart should use SUM (to show total counts per slice as a proportion of the whole) rather than AVG, which would misrepresent the contribution of each category to the total."
hr/#RWFD 1 - HR DASHBOARD,Gender Diversity D,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom/unknown aggregation (USR) on the quantitative field rather than a standard Percent of Total or SUM aggregation, which makes it impossible to verify semantic correctness and may result in misleading proportional representation."
operations/Fistula Operation,Birth Attended By Skilled Health Staff (% Of Total)- Country,pie,flagged,flagged,FLAGGED,"The pie chart uses AVG aggregation on 'Births attended by skilled health staff (% of total)', which is a ratio/percentage field where averaging percentages is statistically misleading, and the chart lacks a Percent of Total calculation that would be more semantically appropriate for pie chart slices."
marketing/Marketing _ Web Traffic & Sales Dashboard,Sale Amount by Month,circle,correct,correct,FLAGGED,"The 'Date' field has aggregation 'MN' (Month) applied to an ordinal type field on rows, which is semantically inconsistent since ordinal date fields typically should not have date-part truncation aggregations applied, and the nominal field 'federated.0k5qr2b1wneerg132suhh1d1a9t2' appearing on both rows and cols with no aggregation creates a redundant and potentially meaningless axis duplication."
hr/HR Dashboard ,Attrition Count,line,correct,flagged,FLAGGED,"The field 'Calculation_592786305341378575' on the cols shelf uses an aggregation of 'TYR', which is not a recognized or valid Tableau aggregation function, suggesting an error or corruption in the aggregation definition."
hr/HR Resources Dashboard,Employees by Race,bar,correct,correct,FLAGGED,"'Calculation_219480138429472772' is used with USR aggregation on the rows shelf as ordinal and simultaneously on the cols shelf as quantitative, suggesting inconsistent dual usage of the same field with different types and aggregations that may produce misleading or structurally conflicting results in the visualization."
supply_chain/Supply Chain Analytics - Executive Scorecard_10.0,Status by Weight per shipment,pie,flagged,flagged,FLAGGED,"The pie chart uses MAX aggregation for the quantitative field rather than Percent of Total (or at minimum SUM), which is semantically inappropriate for a pie chart where slices should represent proportional contributions to a whole."
hr/HR Dashboard _ #RWFD (1),Pie - status wise (2),pie,flagged,flagged,FLAGGED,"The pie chart uses raw SUM aggregations for the two quantitative fields rather than Percent of Total, which is semantically inappropriate for a pie chart where slices should represent proportional contributions to a whole."
hr/HR Dashboard - Modern UI,Department,bar,correct,correct,FLAGGED,"The field 'Calculation_108086427052716032' uses a USR (user-defined) aggregation type, which is opaque and cannot be verified for semantic correctness without knowing the underlying calculation, making it a potential aggregation risk that warrants review."
supply_chain/Supply Chain Performance,quality perf (2),bar,correct,correct,CORRECT,"All fields are nominal/categorical types with no aggregation applied (NONE), which is semantically appropriate as categorical fields used for row/column headers in a bar chart do not require numeric aggregation."
sales/Superstore Sales Dashboard #VOTD,Profit Margin(chart),bar,correct,correct,CORRECT,"The aggregations are appropriate: the nominal fields use no aggregation (NONE), the quantitative calculation field uses a user-defined aggregation (USR), and the Order Date field uses MONTH (MN) as an ordinal grouping, all of which are semantically and structurally suitable for a bar chart."
marketing/Marketing dashboard (1),KPI guage,bar,correct,correct,FLAGGED,"The field 'Calculation_604889774785773915' uses aggregation type 'USR' (user-defined/unknown), which is non-standard and cannot be verified as semantically appropriate, and fields with NONE aggregation on a quantitative shelf in a bar chart may produce row-level rather than aggregated values, risking misleading results."
hr/#RWFD 1 - HR DASHBOARD,Department Diversity,bar,correct,correct,CORRECT,"All fields are nominal (categorical) with no aggregation applied, which is appropriate for a bar chart using categorical dimensions on rows and columns to create a matrix or grouped view."
hr/Talent Acquisition Version 2,Funnels bubbel,circle,correct,correct,CORRECT,"All fields use appropriate aggregations: nominal fields have no aggregation (NONE), and the quantitative calculation fields use USR (user-defined/custom) aggregations, which is semantically appropriate for calculated measures in a circle mark chart."
marketing/Marketing Funnel  Dashboard AIDA template,2.4 # Followers per Platform,bar,correct,correct,FLAGGED,"The field 'Calculation_267753125475221591' uses a USR (user-defined/custom) aggregation type on a quantitative field, which cannot be verified for semantic correctness without knowing the underlying calculation definition, and 'Sample - EU Superstore' appears on both rows and columns with no aggregation (NONE) which is unusual for a nominal field used as a data source name rather than a dimension."
hr/HR ANALYTICS DASHBOARD,Attrition Rate By Gender For Different Age Group,pie,flagged,flagged,FLAGGED,"The pie chart uses a USR (user-defined) aggregation on a quantitative field without Percent of Total, and the dimensional fields on rows/cols shelves with NONE aggregation suggest the chart may not be properly aggregating values to form meaningful pie slices, risking raw or incorrectly partitioned data being displayed."
sales/Online Store Sales Dashboard 2024,AOV,pie,flagged,flagged,FLAGGED,"The pie chart uses a USR (custom) aggregation on a quantitative field placed on rows alongside non-aggregated (NONE) nominal fields, and pie charts should typically use Percent of Total or a standard summary aggregation (SUM/COUNT) to meaningfully represent proportional slices, making the raw/custom aggregation semantically questionable for this chart type."
marketing/Marketing Campaign Efficiency Dashboard #VOTD,channel clicks,bar,flagged,flagged,FLAGGED,"'Clicks' is typed as ordinal but aggregated with SUM on the cols shelf, and 'Calculation_267682760850034700' uses a USR (user-defined) aggregation that cannot be verified for semantic correctness, while multiple nominal fields appear on cols without any aggregation, which is structurally unusual for a bar chart that typically requires a measure on rows for meaningful encoding."
supply_chain/SupplyChain,CarryingCost,line,flagged,flagged,FLAGGED,"The 'Cost' field is typed as ordinal but has SUM aggregation applied, and more critically, nominal/categorical fields ('federated.1pgt4fp0ayke8t12rtyaj19i4grp' and 'Category') are placed on rows with no aggregation (NONE), which is structurally inconsistent for a line chart that typically requires a continuous axis or proper measure aggregation to render meaningful trends."
supply_chain/Supply Chain Performance,ss by rev (4),bar,correct,correct,CORRECT,"All aggregations are appropriate: nominal fields on rows/cols use no aggregation (NONE), the quantitative 'Production volumes' uses SUM which is semantically valid for a volume measure, and the calculated field uses a user-defined aggregation (USR) which is appropriate for a custom calculation in a bar chart context."
sales/Sample Superstore - Sales Performance _ VOTD,Monthly Sales Trend - Region,line,correct,correct,FLAGGED,"The 'Order Date' field uses aggregation 'TMN' (Minimum truncated/temporal minimum) on the columns shelf, which is an unusual or non-standard aggregation for a time axis in a line chart — typically date fields should use NONE (with a date truncation like YEAR/MONTH) or a standard date aggregation, and 'TMN' is not a recognized standard Tableau aggregation, suggesting a potential misconfiguration."
financial/Tableau for Finance,Chart,bar,correct,flagged,FLAGGED,"The 'DateValue' field has an aggregation of TYR (truncate to year), which is an unusual/non-standard aggregation function applied to a quantitative date field on the columns shelf, and the field 'Calculation_2171297999961583621' is placed on the rows shelf with SUM aggregation, which is structurally odd as measures are typically placed on columns for a standard bar chart, suggesting potential misconfiguration."
marketing/Automotive Marketing Insights,Leasing time (2),bar,correct,correct,FLAGGED,"The 'ModelYear' field has an aggregation of 'TYR' (Truncate Year) applied to it, which is a date truncation function that is semantically inappropriate for a field typed as ordinal, suggesting either a misconfigured aggregation or a data type mismatch."
supply_chain/#RWFD Supply Chain Dashboard,Plant use weight,bar,correct,correct,FLAGGED,"The field 'federated.19alema1tras7p14h5abx1884kg3' appears on both rows and cols with no aggregation (NONE) despite being used as a dimensional axis, and 'Calculation3' uses a USR (user-defined) aggregation which cannot be verified for semantic correctness without knowing the underlying formula, raising concerns about aggregation appropriateness."
supply_chain/Supply Chain Dashboard (6),Overeall Late Deliv Hist,bar,correct,correct,CORRECT,"The aggregations are appropriate: CNT (COUNT) is correctly applied to the quantitative calculation field to count occurrences, while the nominal and ordinal fields (categorical dimension, binned field) use no aggregation (NONE), which is standard for dimensional fields used to define bar chart categories."
financial/Banking Loan Report,Days Overdue ,bar,correct,correct,FLAGGED,"The field 'Calculation_2139139520040349700' uses aggregation type 'USR' (user-defined/unknown), which cannot be verified for semantic appropriateness, and two fields on rows/cols have no aggregation (NONE) applied despite being used in a bar chart context where explicit aggregation is typically expected for quantitative measures."
supply_chain/#RWFD Supply Chain Dashboard,scatter,circle,correct,correct,CORRECT,"All aggregations are appropriate: the nominal fields use no aggregation (NONE), while the quantitative fields ('Calculation_1599622325680529418' and 'Daily Capacity') use SUM, which is semantically valid for numeric measures in a circle mark chart."
healthcare/UN·insured,Forecasted shift,square,correct,correct,CORRECT,"All fields use no aggregation (NONE), which is appropriate since the nominal field serves as a categorical dimension and the quantitative fields (Row, Space) appear to be used as positional/index values to place square marks in a grid layout rather than as measures requiring aggregation."
hr/HR Attrition Dashboard (1),age n,pie,flagged,flagged,FLAGGED,"The pie chart uses fields with USR (user-defined) aggregation for the quantitative measures and NONE aggregation for nominal fields on rows/cols, which is structurally suspect for a pie chart that should use Percent of Total or a clear additive aggregation (like SUM) to ensure the slices meaningfully represent proportional parts of a whole."
sales/Sales Pipeline Dashboard _ #VOTD,3-c Conversion rate KPI,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom/user-defined (USR) aggregation on a quantitative field placed on rows rather than using a Percent of Total aggregation, which is the semantically appropriate aggregation for pie charts to ensure slices represent proportional parts of a whole."
