dashboard_id,category,sheet_name,mark_type,status,error_name,severity,problem,fix,source_rule,annotator_label,notes
education/Finals-Is College Education Worth It in 2026_,education, Q4: Career Disruption Risk,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
education/Finals-Is College Education Worth It in 2026_,education,Prep vs Wage,circle,Clean,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q1: Payoff & Risk,bar,Clean,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q2b: T20 State Price,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
education/Finals-Is College Education Worth It in 2026_,education,Q2c: B20 State Price,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
education/Finals-Is College Education Worth It in 2026_,education,Q3: Labor Market Resilience,circle,Clean,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q4: Wage vs Unemployment,circle,Clean,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q6: Belonging & Teamwork by Pathway,circle,Clean,,,,,,,
"education/Girls, School & Equality_ Does Education Drive Gender Equality_",education,Enrollment vs Equality,circle,Clean,,,,,,,
"education/Girls, School & Equality_ Does Education Drive Gender Equality_",education,GPI Over Time,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.1efpxsn1uwkuxu19uupnc0m6jas2' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
education/Global Education Trends (2001–2024),education,Gender Parity,bar,Clean,,,,,,,
education/Global Education Trends (2001–2024),education,Literacy Rate Trend,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0o5ehyo1s9gbpe13arkhr0vh5diq' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
education/Global Education Trends (2001–2024),education,Secondary Enrollment,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0o5ehyo1s9gbpe13arkhr0vh5diq' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
education/GS_TeleAnalysis,education,Sheet 14,bar,Clean,,,,,,,
education/GS_TeleAnalysis,education,Sheet 15,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
education/IPEDS East Coast Higher Education Tableau Dashboard,education,Endowments & Grad Rate (2),bar,Clean,,,,,,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,Budget % vs Benchmark,line,Clean,,,,,,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,Nigeria Federal Education Allocation 2015-2025,line,Clean,,,,,,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,YoY Growth Rate,bar,Clean,,,,,,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,funding status by year,bar,Clean,,,,,,,
education/Online Education assessment,education,Q2 - Institution vs Device,bar,Clean,,,,,,,
education/Online Education assessment,education,Q2 - Institution vs Internet,bar,Clean,,,,,,,
education/Online Education assessment,education,Q2 - Institution vs Network,bar,Clean,,,,,,,
education/Online Education assessment,education,Q3 - Edu vs Device,bar,Clean,,,,,,,
education/Online Education assessment,education,Q3 - Edu vs Internet,bar,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 10,line,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 11,pie,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 12,pie,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 15,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
education/online education platform dashboard-project- By Divya,education,Sheet 21,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
education/online education platform dashboard-project- By Divya,education,Sheet 33,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
education/online education platform dashboard-project- By Divya,education,Sheet 34,pie,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 35,bar,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 38,bar,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 40,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0bdi9xc1q8kg8r110q4br0x8qb9v' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
education/online education platform dashboard-project- By Divya,education,Sheet 5,pie,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 6,pie,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 7,bar,Clean,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 9,area,Clean,,,,,,,
education/U.S. Department of Education_ 6 Year Graduation Rate Analysis,education,bar chart with line,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0kt9q7x0hbrcj71548bts170v5is' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
education/utoast_canada_education_REAL_ANALYSIS,education,工作表 6,bar,Clean,,,,,,,
education/World Education Gap by Gender,education,Cluster,circle,Clean,,,,,,,
education/World Education Gap by Gender,education,Scatterplot ,circle,Clean,,,,,,,
financial/Banking Loan Report,financial,Cities Tooltip,bar,Clean,,,,,,,
financial/Banking Loan Report,financial,Days Overdue ,bar,Clean,,,,,,,
financial/Banking Loan Report,financial,Loan Term and Risk Rate,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
financial/Banking Loan Report,financial,Segment and Days Overdue,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
financial/Banking Loan Report,financial,Top 10 States ,bar,Clean,,,,,,,
financial/CFU - Climate finance recipients,financial,Approved project spending by country,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
financial/CFU - Climate finance recipients,financial,chart sheet,bar,Clean,,,,,,,
financial/CFU - REDD finance,financial,Recipients ,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
financial/CFU - REDD finance,financial,Sheet 1,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,Country Table,text,Clean,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,KPI's (2),text,Clean,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,KPI's (3),text,Clean,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,KPI's (4),text,Clean,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,Link,text,Clean,,,,,,,
financial/Expenditure Finance 2023,financial,Sheet 1,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
financial/Expenditure Finance 2023,financial,Sheet 1 (2),bar,Clean,,,,,,,
financial/Finance (1),financial,EndPerStudent FTE,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel.41754.627542372684' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance (1),financial,Endowment Value,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
financial/Finance (1),financial,Operating Expenses,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
financial/Finance (2),financial,Averages,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
financial/Finance (2),financial,Finance,square,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
financial/Finance Business Dashboard,financial,CC Scatter Plot,circle,Clean,,,,,,,
financial/Finance Business Dashboard,financial,CC1 Bar Chart,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Finance Business Dashboard,financial,CC2 Bar Chart,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Finance Business Dashboard,financial,CC3 Bar Chart,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Finance Business Dashboard,financial,Expenditure Split,bar,Flagged,No numeric field on any axis,ERROR,This bar chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Business Dashboard,financial,FY Bar Chart,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Finance Business Dashboard,financial,FY Circle Indicators,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
financial/Finance Business Dashboard,financial,RM Circle Indicators,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
financial/Finance Business Dashboard,financial,Scatter Plot with Action Filter,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the Y axis.,Add a numeric measure to the Y axis shelf.,point_tick_bar_without_x_or_y,,
financial/Finance Business Dashboard,financial,YTD Circle Indicators,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
financial/Finance Dashboard (1),financial,Product Pareto,bar,Clean,,,,,,,
financial/Finance Dashboard (1),financial,Trend Growth,circle,Clean,,,,,,,
financial/Finance Dashboard (1),financial,Trend Margin,bar,Clean,,,,,,,
financial/Finance Dashboard (1),financial,Trend Profit,bar,Clean,,,,,,,
financial/Finance Dashboard (1),financial,Trend Sales,bar,Clean,,,,,,,
financial/Finance Dashboard (2),financial,Collected Budget,line,Clean,,,,,,,
financial/Finance Dashboard (2),financial,Investment Yield Over Time,bar,Clean,,,,,,,
financial/Finance Dashboard,financial," Accounts Payable, Accounts Receivable, and Inventory",bar,Flagged,No numeric field on any axis,ERROR,This bar chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Dashboard,financial,Balance Trend,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42452.837785428237' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Dashboard,financial,DSO vs DPO,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42446.750381423612' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Dashboard,financial,GrossProfit,pie,Clean,,,,,,,
financial/Finance Dashboard,financial,Net working capital excl. Cash and Current Debt,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42581.611218009260 (copy 5)' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Dashboard,financial,Quick Ratio,line,Flagged,No numeric field on any axis,ERROR,This line chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Dashboard,financial,Quick Ratio,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42581.611218009260 (copy 5)' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Dashboard,financial,Revenue/GP - Actual,line,Flagged,No numeric field on any axis,ERROR,This line chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Dashboard,financial,Revenue/GP - Actual,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42493.800401689812' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance Variance Analysis Dashboard,financial,Natural Accounts,bar,Clean,,,,,,,
financial/Finance Variance Analysis Dashboard,financial,Variance_Bar,bar,Clean,,,,,,,
financial/Finance Variance Analysis Dashboard,financial,Variance_YTD,line,Clean,,,,,,,
financial/Finance,financial," Accounts Payable, Accounts Receivable, and Inventory",bar,Flagged,No numeric field on any axis,ERROR,This bar chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance,financial,Balance Trend,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42452.837785428237' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance,financial,DSO vs DPO,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42446.750381423612' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance,financial,GrossProfit,pie,Clean,,,,,,,
financial/Finance,financial,Net working capital excl. Cash and Current Debt,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42581.611218009260' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance,financial,Quick Ratio,line,Flagged,No numeric field on any axis,ERROR,This line chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance,financial,Quick Ratio,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42581.611218009260' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance,financial,Revenue/GP - Actual,line,Flagged,No numeric field on any axis,ERROR,This line chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Finance,financial,Revenue/GP - Actual,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'excel-direct.42493.800401689812' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
financial/Financial Performance Dashboard,financial,pie profit margin,text,Clean,,,,,,,
financial/Historical Climate Finance,financial,Historical Climate Finance,bar,Clean,,,,,,,
financial/HR Finance Audit,financial,Approved Amount by Spend Category,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis and Y axis.,Add a numeric measure to the X axis and Y axis shelf.,point_tick_bar_without_x_or_y,,
financial/HR Finance Audit,financial,Expense by Month,line,Clean,,,,,,,
financial/KPI _ Finance Dashboard,financial,% of Total Pie,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
financial/KPI _ Finance Dashboard,financial,AOV Bullet,bar,Clean,,,,,,,
financial/KPI _ Finance Dashboard,financial,Barbell Chart,line,Clean,,,,,,,
financial/KPI _ Finance Dashboard,financial,Customers Bullet,bar,Clean,,,,,,,
financial/KPI _ Finance Dashboard,financial,Discount Bullet 2,bar,Clean,,,,,,,
financial/KPI _ Finance Dashboard,financial,Gross Sales Bullet,bar,Clean,,,,,,,
financial/KPI _ Finance Dashboard,financial,Profit Bullet ,bar,Clean,,,,,,,
financial/KPI _ Finance Dashboard,financial,QTY Bullet,bar,Clean,,,,,,,
financial/Personal Finance Tracker _ #VOTD,financial,Dividend,bar,Clean,,,,,,,
financial/Personal Finance Tracker _ #VOTD,financial,Expense,pie,Clean,,,,,,,
financial/Personal Finance Tracker _ #VOTD,financial,Savings,bar,Clean,,,,,,,
financial/Personal Finance Tracker _ #VOTD,financial,Total Invested Value ,line,Clean,,,,,,,
financial/Personal Finance,financial,Current Year Spending,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Personal Finance,financial,Mortgage Payoff Date,text,Clean,,,,,,,
financial/Personal Finance,financial,Retirement Date,text,Clean,,,,,,,
financial/Personal Finance,financial,Retirement Savings,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Personal Finance,financial,Retirement Summary,text,Clean,,,,,,,
financial/Personal Finance,financial,Total Mortgage Interest,text,Clean,,,,,,,
financial/Personal Finance,financial,Total Savings CP,text,Clean,,,,,,,
financial/Personal Finance,financial,cc history,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Procurement and accounting,financial,Details,bar,Flagged,Bar chart comparing two numeric fields,ERROR,"Bar chart has numeric fields on both X and Y axes. A bar chart is meant to compare one measure across categories, not to show the relationship between two numbers.",Use a Scatter plot (Circle mark) to compare two numeric fields.,bar_tick_continuous_x_y,,
financial/Procurement and accounting,financial,PO distribution,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the Y axis.,Add a numeric measure to the Y axis shelf.,point_tick_bar_without_x_or_y,,
financial/Procurement and accounting,financial,Pareto,line,Clean,,,,,,,
financial/Procurement and accounting,financial,Sub evolution (3),line,Clean,,,,,,,
financial/Procurement and accounting,financial,YTD per Subsidiary,text,Clean,,,,,,,
financial/Procurement and accounting,financial,evolution spending,line,Clean,,,,,,,
financial/Procurement and accounting,financial,top 5 ,bar,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,%Loan on Time vs Late Payment vs Paid off,pie,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,By Property,bar,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,Compare,line,Flagged,Line chart missing Y axis,ERROR,This line chart has no field on the Y axis (Rows shelf).,Add a numeric measure to Rows (Y axis).,line_area_without_x_y,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,High Risk Profiles (2),bar,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,KPI Bars,line,Flagged,No numeric field on any axis,ERROR,This line chart has no numeric or date field on either axis. Bar lengths and line heights need a number to be meaningful.,Add a numeric measure (e.g. SUM of Sales) to Rows or Columns.,bar_tick_area_line_without_continuous_x_y,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,Status,line,Flagged,Line chart missing Y axis,ERROR,This line chart has no field on the Y axis (Rows shelf).,Add a numeric measure to Rows (Y axis).,line_area_without_x_y,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,Trend,bar,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color 2,bar,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color 3,bar,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color 4,bar,Clean,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color1,bar,Clean,,,,,,,
financial/Sector Visualizations_ Finance,financial,Finance Access Developed Countries,pie,Clean,,,,,,,
financial/Sector Visualizations_ Finance,financial,Finance Access Developing Countries,pie,Clean,,,,,,,
financial/Sector Visualizations_ Finance,financial,Global Trade Finance Gap,bar,Clean,,,,,,,
